Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2009,Assault (Homicide),M,Black Non-Hispanic,255.0,30.0,30.0
2010,Malignant Neoplasms (Cancer),M,Hispanic,1057.0,92.5,150.0
2013,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,122.0,10.3,11.3
2008,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,48.0,9.6,14.1
2009,Diseases of Heart,F,Not Stated/Unknown,111.0,,
2011,Diabetes Mellitus,F,Black Non-Hispanic,410.0,39.2,34.7
2014,Other Causes,F,Not Stated/Unknown,12.0,,
2012,Septicemia,F,White Non-Hispanic,113.0,8.0,4.2
2007,Cerebrovascular Disease (Stroke),F,White Non-Hispanic,372.0,25.9,14.4
2008,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,356.0,41.9,41.8
2007,Other Causes,F,Black Non-Hispanic,163.0,15.5,14.8
2012,Other Causes,M,Asian and Pacific Islander,333.0,61.6,79.7
2009,Assault (Homicide),M,Not Stated/Unknown,7.0,,
2009,Cerebrovascular Disease (Stroke),F,Other Race/ Ethnicity,,,
2013,Intentional Self-Harm (Suicide),M,Not Stated/Unknown,17.0,,
2008,Essential Hypertension and Renal Diseases,M,Asian and Pacific Islander,31.0,6.2,9.8
2007,Other Causes,F,Black Non-Hispanic,295.0,28.0,26.9
2011,Malignant Neoplasms (Cancer),M,Black Non-Hispanic,1590.0,186.4,224.4
2013,Septicemia,F,Asian and Pacific Islander,16.0,2.7,2.9
2009,Intentional Self-Harm (Suicide),F,Asian and Pacific Islander,17.0,3.1,3.1
2007,Malignant Neoplasms (Cancer),M,Other Race/ Ethnicity,29.0,,
2009,Cerebrovascular Disease (Stroke),F,Asian and Pacific Islander,61.0,11.1,14.1
2012,Other Causes,F,Hispanic,158.0,12.8,14.6
2010,Malignant Neoplasms (Cancer),F,Other Race/ Ethnicity,34.0,,
2007,Essential Hypertension and Renal Diseases,F,White Non-Hispanic,155.0,10.8,5.9
2013,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,71.0,12.8,16.1
2013,Other Causes,F,Black Non-Hispanic,258.0,24.7,20.8
2007,Assault (Homicide),M,Not Stated/Unknown,,,
2007,Other Causes,F,Not Stated/Unknown,,,
2011,Chronic Liver Disease and Cirrhosis,M,Hispanic,167.0,14.5,18.8
2007,Other Causes,M,Not Stated/Unknown,,,
2010,Diseases of Heart,F,Not Stated/Unknown,70.0,,
2011,Other Causes,F,Other Race/ Ethnicity,,,
2008,Essential Hypertension and Renal Diseases,F,Black Non-Hispanic,192.0,18.3,17.1
2013,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,633.0,114.2,130.9
2010,Cerebrovascular Disease (Stroke),M,Not Stated/Unknown,,,
2008,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,206.0,24.3,31.0
2014,Other Causes,F,Black Non-Hispanic,220.0,21.0,17.9
2010,Cerebrovascular Disease (Stroke),F,Asian and Pacific Islander,89.0,15.8,19.2
2010,Cerebrovascular Disease (Stroke),F,White Non-Hispanic,382.0,26.7,14.1
2011,Essential Hypertension and Renal Diseases,F,Black Non-Hispanic,225.0,21.5,18.7
2008,Chronic Liver Disease and Cirrhosis,F,Not Stated/Unknown,,,
2013,Other Causes,M,Other Race/ Ethnicity,42.0,,
2013,Other Causes,F,Hispanic,204.0,16.3,18.5
2012,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,103.0,8.8,10.1
2011,Diabetes Mellitus,F,Other Race/ Ethnicity,8.0,,
2013,Cerebrovascular Disease (Stroke),F,White Non-Hispanic,427.0,30.0,16.4
2013,Diabetes Mellitus,F,Other Race/ Ethnicity,10.0,,
2010,HIV (Human Immunodeficiency Virus Disease),F,Hispanic,79.0,6.5,6.5
2010,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,83.0,15.9,21.3
2014,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,29.0,4.6,5.1
2011,Diseases of Heart,F,Black Non-Hispanic,2243.0,214.3,186.7
2009,Malignant Neoplasms (Cancer),M,Other Race/ Ethnicity,12.0,,
2010,Septicemia,F,Not Stated/Unknown,,,
2012,Other Causes,M,Hispanic,191.0,16.3,19.7
2009,Cerebrovascular Disease (Stroke),M,Other Race/ Ethnicity,,,
2012,Intentional Self-Harm (Suicide),M,White Non-Hispanic,199.0,14.9,13.6
2012,Other Causes,F,White Non-Hispanic,2444.0,172.3,105.1
2009,Other Causes,M,Hispanic,1067.0,95.0,138.1
2011,Congenital Malformations,M,Not Stated/Unknown,,,
2010,Diseases of Heart,F,Other Race/ Ethnicity,50.0,,
2012,Essential Hypertension and Renal Diseases,F,Not Stated/Unknown,5.0,,
2008,HIV (Human Immunodeficiency Virus Disease),F,Hispanic,113.0,9.6,9.6
2009,Malignant Neoplasms (Cancer),F,White Non-Hispanic,3346.0,232.9,159.0
2013,Malignant Neoplasms (Cancer),M,Other Race/ Ethnicity,32.0,,
2012,Malignant Neoplasms (Cancer),F,Asian and Pacific Islander,461.0,78.9,83.8
2013,Diseases of Heart,F,Other Race/ Ethnicity,41.0,,
2009,Other Causes,M,Not Stated/Unknown,16.0,,
2012,Other Causes,F,Other Race/ Ethnicity,,,
2013,Other Causes,F,White Non-Hispanic,263.0,18.5,8.4
2010,Other Causes,M,Other Race/ Ethnicity,5.0,,
2013,Diseases of Heart,F,Asian and Pacific Islander,437.0,72.8,81.8
2011,Essential Hypertension and Renal Diseases,M,White Non-Hispanic,142.0,10.6,8.8
2011,Other Causes,M,Asian and Pacific Islander,94.0,17.8,28.7
2008,Diseases of Heart,F,White Non-Hispanic,6836.0,476.2,245.5
2013,Essential Hypertension and Renal Diseases,M,Other Race/ Ethnicity,5.0,,
2014,Other Causes,M,Not Stated/Unknown,25.0,,
2011,Other Causes,F,Hispanic,1025.0,83.7,94.8
2008,Other Causes,M,Asian and Pacific Islander,238.0,47.8,63.3
2014,Assault (Homicide),M,Black Non-Hispanic,186.0,21.5,21.5
2010,Other Causes,M,Hispanic,1167.0,102.1,150.0
2010,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1768.0,168.6,151.8
2013,Essential Hypertension and Renal Diseases,M,Not Stated/Unknown,15.0,,
2010,Other Causes,M,Not Stated/Unknown,12.0,,
2012,Chronic Liver Disease and Cirrhosis,F,Hispanic,54.0,4.4,4.6
2013,Diabetes Mellitus,F,White Non-Hispanic,238.0,16.7,10.4
2009,Mental and Behavioral Disorders,F,Hispanic,57.0,4.8,4.7
2013,Diseases of Heart,M,White Non-Hispanic,4085.0,303.5,244.3
2011,Other Causes,M,Black Non-Hispanic,243.0,28.5,38.0
2008,Other Causes,M,Other Race/ Ethnicity,5.0,,
2014,Diabetes Mellitus,M,Hispanic,186.0,15.6,23.2
2011,Other Causes,M,Not Stated/Unknown,8.0,,
2009,Other Causes,F,Hispanic,775.0,64.7,75.3
2014,Other Causes,F,Other Race/ Ethnicity,59.0,,
2009,Other Causes,F,Other Race/ Ethnicity,,,
2013,Diabetes Mellitus,M,Other Race/ Ethnicity,17.0,,
2009,Diseases of Heart,F,Other Race/ Ethnicity,40.0,,
2010,Other Causes,M,Other Race/ Ethnicity,5.0,,
2012,Other Causes,F,Black Non-Hispanic,204.0,19.5,16.9
2007,Other Causes,F,Not Stated/Unknown,,,
2010,Mental and Behavioral Disorders,M,Other Race/ Ethnicity,,,
2013,Intentional Self-Harm (Suicide),M,Other Race/ Ethnicity,6.0,,
2007,Other Causes,F,White Non-Hispanic,472.0,32.9,19.6
2011,Other Causes,F,Other Race/ Ethnicity,,,
2014,Other Causes,F,Not Stated/Unknown,10.0,,
2008,Diseases of Heart,F,Other Race/ Ethnicity,35.0,,
2011,Essential Hypertension and Renal Diseases,M,Not Stated/Unknown,,,
2010,Other Causes,M,Not Stated/Unknown,6.0,,
2011,Diabetes Mellitus,F,Hispanic,196.0,16.0,18.5
2012,Essential Hypertension and Renal Diseases,F,Other Race/ Ethnicity,,,
2011,Other Causes,F,Black Non-Hispanic,1473.0,140.7,128.8
2012,Diseases of Heart,F,Not Stated/Unknown,76.0,,
2009,Other Causes,M,Black Non-Hispanic,147.0,17.3,22.6
2013,Other Causes,M,White Non-Hispanic,271.0,20.1,17.9
2008,Diseases of Heart,M,Not Stated/Unknown,92.0,,
2011,Mental and Behavioral Disorders,M,Hispanic,145.0,12.6,13.0
2013,Cerebrovascular Disease (Stroke),F,Hispanic,222.0,17.8,19.8
2012,Malignant Neoplasms (Cancer),M,Hispanic,1126.0,96.4,151.0
2011,Other Causes,M,Other Race/ Ethnicity,7.0,,
2007,Diseases of Heart,F,Other Race/ Ethnicity,43.0,,
2007,Mental and Behavioral Disorders,M,Black Non-Hispanic,163.0,19.1,19.0
2008,Nephritis and Related Diseases,F,Asian and Pacific Islander,13.0,2.4,3.3
2010,Malignant Neoplasms (Cancer),M,Other Race/ Ethnicity,25.0,,
2014,Other Causes,M,Asian and Pacific Islander,68.0,11.9,13.3
2007,Other Causes,F,Not Stated/Unknown,27.0,,
2008,Other Causes,F,Not Stated/Unknown,14.0,,
2011,Other Causes,F,Other Race/ Ethnicity,,,
2013,Nephritis and Related Diseases,F,Black Non-Hispanic,93.0,8.9,7.6
2008,Diabetes Mellitus,F,Hispanic,228.0,19.3,24.1
2009,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,329.0,38.7,38.5
2013,Other Causes,F,Not Stated/Unknown,8.0,,
2012,Other Causes,M,Not Stated/Unknown,78.0,,
2007,Other Causes,F,Other Race/ Ethnicity,,,
2012,Congenital Malformations,F,Other Race/ Ethnicity,,,
2009,Other Causes,F,Other Race/ Ethnicity,11.0,,
2009,Diseases of Heart,M,White Non-Hispanic,5168.0,384.2,319.8
2014,Cerebrovascular Disease (Stroke),F,Asian and Pacific Islander,112.0,17.9,19.1
2007,Cerebrovascular Disease (Stroke),M,Hispanic,126.0,11.6,20.0
2009,Other Causes,F,Asian and Pacific Islander,30.0,5.5,7.4
2007,Other Causes,F,Not Stated/Unknown,,,
2007,Other Causes,F,Asian and Pacific Islander,182.0,35.3,44.6
2008,Other Causes,F,White Non-Hispanic,193.0,13.4,9.4
2014,Diseases of Heart,F,Hispanic,1230.0,97.1,106.7
2014,Other Causes,F,Asian and Pacific Islander,339.0,54.2,59.0
2008,Malignant Neoplasms (Cancer),F,Other Race/ Ethnicity,21.0,,
2010,Mental and Behavioral Disorders,M,Hispanic,138.0,12.1,12.9
2010,Chronic Liver Disease and Cirrhosis,M,Other Race/ Ethnicity,,,
2010,Malignant Neoplasms (Cancer),F,Asian and Pacific Islander,414.0,73.6,79.9
2009,Other Causes,F,Not Stated/Unknown,,,
2010,Diabetes Mellitus,M,White Non-Hispanic,245.0,18.3,15.6
2014,Intentional Self-Harm (Suicide),F,Other Race/ Ethnicity,5.0,,
2008,Diabetes Mellitus,F,Other Race/ Ethnicity,,,
2007,HIV (Human Immunodeficiency Virus Disease),F,Hispanic,109.0,9.3,9.5
2009,Diseases of Heart,M,Asian and Pacific Islander,554.0,108.5,158.8
2013,Other Causes,F,Hispanic,60.0,4.8,5.1
2008,Other Causes,M,Black Non-Hispanic,222.0,26.1,37.6
2009,Other Causes,M,Not Stated/Unknown,55.0,,
2008,Other Causes,F,Asian and Pacific Islander,30.0,5.6,7.9
2010,Essential Hypertension and Renal Diseases,F,White Non-Hispanic,219.0,15.3,7.7
2010,Other Causes,F,Black Non-Hispanic,206.0,19.6,17.7
2010,Other Causes,F,Not Stated/Unknown,,,
2008,Other Causes,M,Not Stated/Unknown,10.0,,
2014,Other Causes,F,White Non-Hispanic,276.0,19.5,8.6
2007,Diabetes Mellitus,M,Hispanic,177.0,16.2,27.6
2012,Intentional Self-Harm (Suicide),M,Asian and Pacific Islander,40.0,7.4,7.3
2011,Intentional Self-Harm (Suicide),M,Not Stated/Unknown,,,
2007,Diabetes Mellitus,F,White Non-Hispanic,231.0,16.1,9.8
2009,Other Causes,M,Not Stated/Unknown,6.0,,
2007,Diabetes Mellitus,F,Asian and Pacific Islander,34.0,6.6,8.3
2012,Diabetes Mellitus,F,Hispanic,200.0,16.1,18.4
2012,Other Causes,F,Not Stated/Unknown,6.0,,
2010,Nephritis and Related Diseases,F,Black Non-Hispanic,86.0,8.2,7.4
2011,Mental and Behavioral Disorders,M,Not Stated/Unknown,5.0,,
2013,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,191.0,22.3,25.0
2012,Other Causes,F,Black Non-Hispanic,115.0,11.0,8.9
2013,Cerebrovascular Disease (Stroke),M,Other Race/ Ethnicity,10.0,,
2007,Intentional Self-Harm (Suicide),M,Asian and Pacific Islander,36.0,7.4,7.7
2014,Cerebrovascular Disease (Stroke),F,Hispanic,220.0,17.4,19.0
2012,Other Causes,M,Not Stated/Unknown,17.0,,
2012,Other Causes,M,Asian and Pacific Islander,55.0,10.2,15.1
2007,Other Causes,F,Other Race/ Ethnicity,,,
2008,Diseases of Heart,M,Hispanic,1330.0,120.3,228.0
2012,Other Causes,M,Black Non-Hispanic,242.0,28.3,37.4
2011,Other Causes,M,Not Stated/Unknown,,,
2012,Other Causes,F,Not Stated/Unknown,,,
2010,Essential Hypertension and Renal Diseases,M,White Non-Hispanic,153.0,11.4,9.4
2008,Other Causes,F,Not Stated/Unknown,42.0,,
2012,Intentional Self-Harm (Suicide),M,Other Race/ Ethnicity,,,
2011,Diseases of Heart,F,Not Stated/Unknown,43.0,,
2008,Chronic Liver Disease and Cirrhosis,M,Hispanic,149.0,13.5,16.8
2012,Essential Hypertension and Renal Diseases,M,Black Non-Hispanic,143.0,16.7,21.3
2014,Diabetes Mellitus,F,Black Non-Hispanic,398.0,37.9,31.6
2009,HIV (Human Immunodeficiency Virus Disease),F,Black Non-Hispanic,208.0,19.9,17.9
2012,Mental and Behavioral Disorders,M,Hispanic,173.0,14.8,15.5
2012,Cerebrovascular Disease (Stroke),F,Hispanic,169.0,13.6,15.7
2009,Other Causes,M,Asian and Pacific Islander,220.0,43.1,56.1
2008,Other Causes,F,White Non-Hispanic,518.0,36.1,21.4
2007,Congenital Malformations,F,Other Race/ Ethnicity,,,
2007,Diabetes Mellitus,M,White Non-Hispanic,237.0,17.7,15.0
2007,Other Causes,M,White Non-Hispanic,1749.0,130.7,115.9
2010,Chronic Liver Disease and Cirrhosis,M,Asian and Pacific Islander,18.0,3.5,3.1
2012,Diabetes Mellitus,F,Not Stated/Unknown,15.0,,
2009,Other Causes,M,Hispanic,183.0,16.3,30.9
2008,Intentional Self-Harm (Suicide),M,Asian and Pacific Islander,30.0,6.0,6.3
2009,Diseases of Heart,F,Black Non-Hispanic,2535.0,242.1,220.9
2010,Diseases of Heart,F,Hispanic,1316.0,108.1,133.2
2011,Cerebrovascular Disease (Stroke),M,White Non-Hispanic,290.0,21.7,18.2
2012,Other Causes,M,Not Stated/Unknown,11.0,,
2008,Other Causes,M,Not Stated/Unknown,67.0,,
2013,Essential Hypertension and Renal Diseases,M,Black Non-Hispanic,148.0,17.2,20.9
2013,Other Causes,F,White Non-Hispanic,521.0,36.6,21.6
2013,Essential Hypertension and Renal Diseases,M,Asian and Pacific Islander,33.0,6.0,8.4
2008,Cerebrovascular Disease (Stroke),F,Black Non-Hispanic,267.0,25.5,23.6
2008,Other Causes,F,Black Non-Hispanic,318.0,30.4,28.6
2013,Other Causes,F,Other Race/ Ethnicity,39.0,,
2012,Other Causes,F,White Non-Hispanic,576.0,40.6,20.2
2013,Cerebrovascular Disease (Stroke),F,Asian and Pacific Islander,80.0,13.3,14.4
2011,Malignant Neoplasms (Cancer),F,Asian and Pacific Islander,451.0,79.1,86.1
2014,Malignant Neoplasms (Cancer),M,Black Non-Hispanic,1532.0,177.5,199.6
2007,Diseases of Heart,M,White Non-Hispanic,5632.0,421.0,350.7
2011,Essential Hypertension and Renal Diseases,M,Asian and Pacific Islander,37.0,7.0,10.5
2011,Other Causes,F,Black Non-Hispanic,273.0,26.1,22.8
2014,Malignant Neoplasms (Cancer),F,Other Race/ Ethnicity,66.0,,
2008,Other Causes,M,White Non-Hispanic,347.0,25.9,21.8
2010,Other Causes,M,Hispanic,149.0,13.0,23.9
2009,Mental and Behavioral Disorders,M,Not Stated/Unknown,7.0,,
2009,Other Causes,M,Asian and Pacific Islander,55.0,10.8,12.3
2007,Other Causes,F,Asian and Pacific Islander,32.0,6.2,7.6
2014,Septicemia,M,Not Stated/Unknown,8.0,,
2013,Malignant Neoplasms (Cancer),F,Not Stated/Unknown,94.0,,
2009,Other Causes,M,Other Race/ Ethnicity,,,
2014,Malignant Neoplasms (Cancer),F,Not Stated/Unknown,50.0,,
2008,Other Causes,M,White Non-Hispanic,1824.0,135.9,119.9
2008,HIV (Human Immunodeficiency Virus Disease),M,Other Race/ Ethnicity,,,
2008,Diabetes Mellitus,F,White Non-Hispanic,210.0,14.6,8.8
2007,Other Causes,M,Not Stated/Unknown,8.0,,
2011,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,79.0,15.0,18.5
2011,Other Causes,F,Not Stated/Unknown,8.0,,
2011,Diseases of Heart,F,Other Race/ Ethnicity,31.0,,
2012,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3184.0,237.7,200.7
2011,HIV (Human Immunodeficiency Virus Disease),F,Black Non-Hispanic,144.0,13.8,12.4
2009,Other Causes,F,Asian and Pacific Islander,220.0,40.1,48.9
2007,Other Causes,F,White Non-Hispanic,659.0,45.9,23.2
2008,Other Causes,F,Other Race/ Ethnicity,,,
2013,Diseases of Heart,M,Not Stated/Unknown,151.0,,
2007,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,528.0,109.1,145.9
2009,Cerebrovascular Disease (Stroke),F,White Non-Hispanic,390.0,27.1,15.2
2012,Other Causes,M,Black Non-Hispanic,1320.0,154.3,175.0
2009,Diabetes Mellitus,M,White Non-Hispanic,290.0,21.6,18.2
2008,Other Causes,F,Black Non-Hispanic,70.0,6.7,6.4
2008,Other Causes,M,Black Non-Hispanic,1216.0,143.2,163.5
2007,Diseases of Heart,F,Black Non-Hispanic,2722.0,258.6,247.3
2010,Essential Hypertension and Renal Diseases,F,Hispanic,95.0,7.8,9.5
2008,Malignant Neoplasms (Cancer),M,Not Stated/Unknown,60.0,,
2014,Other Causes,F,Other Race/ Ethnicity,6.0,,
2008,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,473.0,95.0,123.5
2010,Other Causes,F,Asian and Pacific Islander,74.0,13.2,16.9
2012,Diabetes Mellitus,F,White Non-Hispanic,240.0,16.9,10.3
2007,Other Causes,F,Other Race/ Ethnicity,,,
2014,Essential Hypertension and Renal Diseases,F,White Non-Hispanic,180.0,12.7,6.7
2007,Diseases of Heart,F,Asian and Pacific Islander,428.0,83.1,115.2
2014,Other Causes,M,Asian and Pacific Islander,105.0,18.3,25.0
2010,Essential Hypertension and Renal Diseases,F,Black Non-Hispanic,252.0,24.0,21.4
2011,Other Causes,M,Other Race/ Ethnicity,27.0,,
2007,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,218.0,20.0,23.1
2012,Diabetes Mellitus,F,Black Non-Hispanic,409.0,39.1,33.8
2009,Nephritis and Related Diseases,F,Black Non-Hispanic,75.0,7.2,6.7
2007,Diseases of Heart,F,Hispanic,1418.0,121.5,164.3
2007,Cerebrovascular Disease (Stroke),F,Hispanic,164.0,14.0,18.3
2009,Diseases of Heart,M,Hispanic,1382.0,123.1,227.9
2009,Other Causes,M,Other Race/ Ethnicity,18.0,,
2014,Other Causes,F,Hispanic,193.0,15.2,16.8
2013,Essential Hypertension and Renal Diseases,F,Black Non-Hispanic,240.0,23.0,18.9
2012,Assault (Homicide),M,Black Non-Hispanic,235.0,27.5,27.6
2013,Essential Hypertension and Renal Diseases,F,Not Stated/Unknown,7.0,,
2013,Diabetes Mellitus,M,White Non-Hispanic,265.0,19.7,16.4
2013,Diabetes Mellitus,F,Asian and Pacific Islander,60.0,10.0,10.9
2013,Cerebrovascular Disease (Stroke),M,Hispanic,158.0,13.4,20.8
2014,Other Causes,M,Hispanic,199.0,16.7,26.6
2010,Diabetes Mellitus,M,Not Stated/Unknown,7.0,,
2013,Other Causes,F,Not Stated/Unknown,79.0,,
2014,Septicemia,F,White Non-Hispanic,118.0,8.3,4.7
2008,Diabetes Mellitus,M,Other Race/ Ethnicity,,,
2014,Other Causes,F,Hispanic,64.0,5.1,5.4
2013,Other Causes,M,White Non-Hispanic,618.0,45.9,36.7
2009,Diseases of Heart,F,Asian and Pacific Islander,448.0,81.6,108.7
2008,Other Causes,F,Hispanic,227.0,19.2,25.5
2012,Other Causes,F,White Non-Hispanic,507.0,35.7,21.4
2008,Diabetes Mellitus,M,White Non-Hispanic,246.0,18.3,15.6
2011,Other Causes,F,Black Non-Hispanic,221.0,21.1,18.6
2011,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3222.0,241.6,206.1
2014,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,657.0,114.5,129.5
2014,Diseases of Heart,F,Not Stated/Unknown,95.0,,
2008,HIV (Human Immunodeficiency Virus Disease),F,Black Non-Hispanic,227.0,21.7,20.0
2010,Other Causes,F,White Non-Hispanic,707.0,49.4,24.8
2013,Essential Hypertension and Renal Diseases,F,White Non-Hispanic,206.0,14.5,7.5
2010,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,297.0,34.9,34.0
2013,Nephritis and Related Diseases,F,Other Race/ Ethnicity,,,
2011,Diseases of Heart,F,White Non-Hispanic,5016.0,354.1,179.8
2013,Other Causes,M,Other Race/ Ethnicity,,,
2011,Diabetes Mellitus,M,Not Stated/Unknown,7.0,,
2012,Diseases of Heart,F,Other Race/ Ethnicity,48.0,,
2009,Other Causes,F,Black Non-Hispanic,281.0,26.8,24.5
2011,Intentional Self-Harm (Suicide),M,White Non-Hispanic,177.0,13.3,12.0
2010,Other Causes,M,Not Stated/Unknown,32.0,,
2013,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,204.0,23.8,23.2
2010,Other Causes,F,Hispanic,58.0,4.8,5.2
2013,Cerebrovascular Disease (Stroke),F,Not Stated/Unknown,14.0,,
2010,Diseases of Heart,M,Other Race/ Ethnicity,52.0,,
2008,Other Causes,M,Not Stated/Unknown,13.0,,
2013,Other Causes,F,Other Race/ Ethnicity,6.0,,
2011,Assault (Homicide),M,Other Race/ Ethnicity,,,
2012,Other Causes,M,Other Race/ Ethnicity,24.0,,
2014,Diabetes Mellitus,M,Black Non-Hispanic,318.0,36.8,42.2
2007,Mental and Behavioral Disorders,M,Hispanic,183.0,16.8,17.9
2011,Chronic Liver Disease and Cirrhosis,M,Other Race/ Ethnicity,5.0,,
2010,Septicemia,F,White Non-Hispanic,107.0,7.5,4.3
2014,Diseases of Heart,F,Other Race/ Ethnicity,68.0,,
2012,Cerebrovascular Disease (Stroke),M,White Non-Hispanic,285.0,21.3,17.6
2007,Other Causes,M,Black Non-Hispanic,158.0,18.5,20.6
2014,Other Causes,F,White Non-Hispanic,515.0,36.3,21.0
2008,Other Causes,F,Not Stated/Unknown,6.0,,
2008,Essential Hypertension and Renal Diseases,M,Black Non-Hispanic,134.0,15.8,20.9
2009,Mental and Behavioral Disorders,M,Other Race/ Ethnicity,,,
2011,Diseases of Heart,M,Hispanic,1201.0,104.2,180.8
2013,Other Causes,M,Black Non-Hispanic,274.0,31.9,40.0
2007,Other Causes,M,Black Non-Hispanic,229.0,26.9,40.1
2014,Mental and Behavioral Disorders,M,White Non-Hispanic,314.0,23.4,21.4
2012,Malignant Neoplasms (Cancer),F,White Non-Hispanic,3256.0,229.6,157.3
2013,Mental and Behavioral Disorders,M,Hispanic,188.0,15.9,16.6
2009,Diabetes Mellitus,F,Black Non-Hispanic,384.0,36.7,33.7
2010,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3408.0,254.1,216.6
2007,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,56.0,11.6,16.2
2013,Cerebrovascular Disease (Stroke),M,White Non-Hispanic,249.0,18.5,15.1
2010,Malignant Neoplasms (Cancer),M,Not Stated/Unknown,46.0,,
2012,Malignant Neoplasms (Cancer),M,Not Stated/Unknown,53.0,,
2010,Other Causes,M,Not Stated/Unknown,10.0,,
2012,Essential Hypertension and Renal Diseases,F,Hispanic,101.0,8.2,9.5
2012,Other Causes,M,White Non-Hispanic,2316.0,172.9,145.7
2007,Cerebrovascular Disease (Stroke),F,Not Stated/Unknown,,,
2011,Cerebrovascular Disease (Stroke),F,Asian and Pacific Islander,98.0,17.2,20.6
2011,Cerebrovascular Disease (Stroke),F,Not Stated/Unknown,,,
2013,Other Causes,M,Asian and Pacific Islander,102.0,18.4,26.8
2007,Essential Hypertension and Renal Diseases,M,Black Non-Hispanic,137.0,16.1,22.0
2011,Nephritis and Related Diseases,F,Not Stated/Unknown,,,
2012,Other Causes,M,White Non-Hispanic,540.0,40.3,32.3
2012,Diseases of Heart,F,Asian and Pacific Islander,402.0,68.8,81.2
2007,HIV (Human Immunodeficiency Virus Disease),M,Other Race/ Ethnicity,,,
2012,Other Causes,F,Hispanic,126.0,10.2,12.2
2012,Malignant Neoplasms (Cancer),M,Black Non-Hispanic,1563.0,182.7,215.3
2011,Diabetes Mellitus,M,Other Race/ Ethnicity,14.0,,
2011,Diseases of Heart,M,White Non-Hispanic,4220.0,316.4,260.2
2008,Diseases of Heart,F,Not Stated/Unknown,108.0,,
2008,Assault (Homicide),M,Black Non-Hispanic,286.0,33.7,33.8
2011,Other Causes,F,Other Race/ Ethnicity,6.0,,
2012,Other Causes,F,Asian and Pacific Islander,34.0,5.8,6.4
2012,Cerebrovascular Disease (Stroke),F,Other Race/ Ethnicity,8.0,,
2007,Nephritis and Related Diseases,F,White Non-Hispanic,89.0,6.2,3.5
2007,Cerebrovascular Disease (Stroke),M,Other Race/ Ethnicity,7.0,,
2012,Other Causes,M,Black Non-Hispanic,152.0,17.8,18.6
2007,Assault (Homicide),M,Black Non-Hispanic,267.0,31.3,31.1
2009,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1735.0,165.7,151.1
2011,Malignant Neoplasms (Cancer),F,White Non-Hispanic,3371.0,238.0,161.1
2011,Assault (Homicide),F,Not Stated/Unknown,,,
2014,Diseases of Heart,F,Black Non-Hispanic,2194.0,209.1,169.1
2011,HIV (Human Immunodeficiency Virus Disease),M,Not Stated/Unknown,10.0,,
2011,Other Causes,F,Black Non-Hispanic,90.0,8.6,7.4
2010,Other Causes,M,Other Race/ Ethnicity,25.0,,
2010,Intentional Self-Harm (Suicide),F,Asian and Pacific Islander,17.0,3.0,2.9
2007,Other Causes,F,Asian and Pacific Islander,29.0,5.6,7.9
2008,Malignant Neoplasms (Cancer),M,Hispanic,1080.0,97.7,165.9
2010,Other Causes,F,Asian and Pacific Islander,18.0,3.2,4.0
2008,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1756.0,167.6,156.3
2012,Other Causes,F,Asian and Pacific Islander,327.0,56.0,65.0
2008,Other Causes,F,Other Race/ Ethnicity,,,
2009,Diseases of Heart,M,Other Race/ Ethnicity,38.0,,
2013,Other Causes,F,Asian and Pacific Islander,27.0,4.5,5.2
2014,Chronic Liver Disease and Cirrhosis,F,Not Stated/Unknown,,,
2013,Other Causes,M,Black Non-Hispanic,159.0,18.5,19.1
2010,Other Causes,F,Black Non-Hispanic,275.0,26.2,23.6
2010,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,33.0,5.9,7.1
2011,Other Causes,F,White Non-Hispanic,510.0,36.0,21.0
2007,Mental and Behavioral Disorders,M,Not Stated/Unknown,,,
2011,Essential Hypertension and Renal Diseases,F,Hispanic,83.0,6.8,8.1
2008,Essential Hypertension and Renal Diseases,F,Other Race/ Ethnicity,,,
